Benchmark#,Description,Idea/Standard,Subject,Grade,Body Of Knowledge/ Strand
MA.912.AR.5.9,Solve and graph mathematical and real-world problems that are modeled with logarithmic functions. Interpret key features and determine constraints in terms of the context.,"Write, solve and graph exponential and logarithmic equations and functions in one and two variables.",Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.1,"Given a mathematical or real-world context, when suitable factorization is possible, solve one-variable polynomial equations of degree 3 or higher over the real and complex number systems.",Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.2,Explain and apply the Remainder Theorem to solve mathematical and real-world problems.,Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.3,Explain and apply theorems for polynomials to solve mathematical and real-world problems.,Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.4,"Given a table, equation or written description of a polynomial function of degree 3 or higher, graph that function and determine its key features.",Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.5,"Sketch a rough graph of a polynomial function of degree 3 or higher using zeros, multiplicity and knowledge of end behavior.",Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.6.6,Solve and graph mathematical and real-world problems that are modeled with polynomial functions of degree 3 or higher. Interpret key features and determine constraints in terms of the context.,Solve and graph polynomial equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.7.1,Solve one-variable radical equations. Interpret solutions as viable in terms of context and identify any extraneous solutions.,Solve and graph radical equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.7.2,"Given a table, equation or written description of a square root or cube root function, graph that function and determine its key features.",Solve and graph radical equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.7.3,Solve and graph mathematical and real-world problems that are modeled with square root or cube root functions. Interpret key features and determine constraints in terms of the context.,Solve and graph radical equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.7.4,Solve and graph mathematical and real-world problems that are modeled with radical functions. Interpret key features and determine constraints in terms of the context.,Solve and graph radical equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.8.1,Write and solve one-variable rational equations. Interpret solutions as viable in terms of the context and identify any extraneous solutions.,Solve and graph rational equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.8.2,"Given a table, equation or written description of a rational function, graph that function and determine its key features.",Solve and graph rational equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.8.3,Solve and graph mathematical and real-world problems that are modeled with rational functions. Interpret key features and determine constraints in terms of the context.,Solve and graph rational equations and functions in one and two variables.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.1,"Given a mathematical or real-world context, write and solve a system of two-variable linear equations algebraically or graphically.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.2,"Given a mathematical or real-world context, solve a system consisting of a two-variable linear equation and a non-linear equation algebraically or graphically.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.3,"Given a mathematical or real-world context, solve a system consisting of two-variable linear or non-linear equations algebraically or graphically.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.4,Graph the solution set of a system of two-variable linear inequalities.,Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.5,Graph the solution set of a system of two-variable inequalities.,Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.6,"Given a real-world context, represent constraints as systems of linear equations or inequalities. Interpret solutions to problems as viable or non-viable options.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.7,"Given a real-world context, represent constraints as systems of linear and non-linear equations or inequalities. Interpret solutions to problems as viable or non-viable options.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.8,Solve real-world problems involving linear programming in two variables.,Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.9,"Given a mathematical or real-world context, solve a system of three-variable linear equations algebraically.",Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.9.10,Solve and graph mathematical and real-world problems that are modeled with piecewise functions. Interpret key features and determine constraints in terms of the context.,Write and solve a system of two- and three-variable equations and inequalities that describe quantities or relationships.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.1,"Given a mathematical or real-world context, write and solve problems involving arithmetic sequences.",Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.2,"Given a mathematical or real-world context, write and solve problems involving geometric sequences.",Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.3,Recognize and apply the formula for the sum of a finite arithmetic series to solve mathematical and real-world problems.,Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.4,Recognize and apply the formula for the sum of a finite or an infinite geometric series to solve mathematical and real-world problems.,Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.5,"Given a mathematical or real-world context, write a sequence using function notation, defined explicitly or recursively, to represent relationships between quantities from a written description.",Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.AR.10.6,"Given a mathematical or real-world context, find the domain of a given sequence defined recursively or explicitly.",Solve problems involving sequences and series.,Mathematics (B.E.S.T.),912,Algebraic Reasoning
MA.912.C.1.1,Demonstrate understanding of the concept of a limit and estimate limits from graphs and tables of values.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.2,"Determine the value of a limit if it exists algebraically using limits of sums, differences, products, quotients and compositions of continuous functions.",Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.3,Find limits of rational functions that are undefined at a point.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.4,Find one-sided limits.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.5,Find limits at infinity.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.6,Decide when a limit is infinite and use limits involving infinity to describe asymptotic behavior.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.7,Find special limits by using the Squeeze Theorem or algebraic manipulation.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.8,Find limits of indeterminate forms using L'Hôpital's Rule.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.9,Define continuity in terms of limits.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.10,"Given the graph of a function, identify whether a function is continuous at a point. If not, identify the type of discontinuity for the given function.",Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.1.11,Apply the Intermediate Value Theorem and the Extreme Value Theorem.,Develop an understanding for limits and continuity. Determine limits and continuity.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.1,"State, understand and apply the definition of derivative. Apply and interpret derivatives geometrically and numerically.",Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.2,Interpret the derivative as an instantaneous rate of change or as the slope of the tangent line.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.3,"Prove the rules for finding derivatives of constants, sums, products, quotients and the Chain Rule.",Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.4,"Apply the rules for finding derivatives of constants, sums, products, quotients and the Chain Rule to solve problems with functions limited to algebraic, trigonometric, inverse trigonometric, logarithmic and exponential.",Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.5,Find the derivatives of implicitly defined functions.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.6,Find derivatives of inverse functions.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.7,Find second derivatives and derivatives of higher order.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.8,Find derivatives using logarithmic differentiation.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.9,Demonstrate and use the relationship between differentiability and continuity.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.2.10,Apply the Mean Value Theorem.,Develop an understanding for and determine derivatives.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.1,"Find the slope of a curve at a point, including points at which there are vertical tangent lines.",Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.2,Find an equation for the tangent line to a curve at a point and use it to make local linear approximation.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.3,Determine where a function is decreasing and increasing using its derivative.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.4,Find local and absolute maximum and minimum points of a function.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.5,Determine the concavity and points of inflection of a function using its second derivative.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.6,"Sketch graphs by using first and second derivatives. Compare the corresponding characteristics of the graphs of f, f' and f"".",Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.7,Solve optimization problems using derivatives.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.8,"Find average and instantaneous rates of change. Explain the instantaneous rate of change as the limit of the average rate of change. Interpret a derivative as a rate of change in applications, including velocity, speed and acceleration.",Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.9,Find the velocity and acceleration of a particle moving in a straight line.,Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.3.10,"Model and solve problems involving rates of change, including related rates.",Apply derivatives to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.1,"Interpret a definite integral as a limit of Riemann sums. Calculate the values of Riemann sums over equal subdivisions using left, right and midpoint evaluation points.",Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.2,"Apply Riemann sums, the Trapezoidal Rule and technology to approximate definite integrals of functions represented algebraically, geometrically and by tables of values.",Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.3,Interpret a definite integral of the rate of change of a quantity over an interval as the change of the quantity over the interval.,Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.4,Evaluate definite integrals by using the Fundamental Theorem of Calculus.,Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.5,Analyze function graphs by using derivative graphs and the Fundamental Theorem of Calculus.,Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.6,Evaluate or solve problems using the properties of definite integrals. Properties are limited to the following: ,Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.4.7,Evaluate definite and indefinite integrals by using integration by substitution.,Develop an understanding for and determine integrals.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.1,"Find specific antiderivatives using initial conditions, including finding velocity functions from acceleration functions, finding position functions from velocity functions and solving applications related to motion along a line.",Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.2,Solve separable differential equations.,Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.3,Solve differential equations of the form as applied to growth and decay problems.,Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.4,"Display a graphic representation of the solution to a differential equation by using slope fields, and locate particular solutions to the equation.",Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.5,Find the area between a curve and the x-axis or between two curves by using definite integrals.,Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.6,Find the average value of a function over a closed interval by using definite integrals.,Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.C.5.7,"Find the volume of a figure with known cross-sectional area, including figures of revolution, by using definite integrals.",Apply integrals to solve problems.,Mathematics (B.E.S.T.),912,Calculus
MA.912.DP.1.1,"Given a set of data, select an appropriate method to represent the data, depending on whether it is numerical or categorical data and on whether it is univariate or bivariate.","Summarize, represent and interpret categorical and numerical data with one and two variables.",Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.1.2,"Interpret data distributions represented in various ways. State whether the data is numerical or categorical, whether it is univariate or bivariate and interpret the different components and quantities in the display.","Summarize, represent and interpret categorical and numerical data with one and two variables.",Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.1.3,Explain the difference between correlation and causation in the contexts of both numerical and categorical data.,"Summarize, represent and interpret categorical and numerical data with one and two variables.",Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.1.4,"Estimate a population total, mean or percentage using data from a sample survey; develop a margin of error through the use of simulation.","Summarize, represent and interpret categorical and numerical data with one and two variables.",Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.1.5,Interpret the margin of error of a mean or percentage from a data set. Interpret the confidence level corresponding to the margin of error.,"Summarize, represent and interpret categorical and numerical data with one and two variables.",Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.1,"For two or more sets of numerical univariate data, calculate and compare the appropriate measures of center and measures of variability, accounting for possible effects of outliers. Interpret any notable features of the shape of the data distribution.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.2,Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.3,Estimate population percentages from data that has been fit to the normal distribution.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.4,Fit a linear function to bivariate numerical data that suggests a linear association and interpret the slope and y-intercept of the model. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.5,"Given a scatter plot that represents bivariate numerical data, assess the fit of a given linear function by plotting and analyzing residuals.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.6,"Given a scatter plot with a line of fit and residuals, determine the strength and direction of the correlation. Interpret strength and direction within a real-world context.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.7,Compute the correlation coefficient of a linear model using technology. Interpret the strength and direction of the correlation coefficient.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.8,Fit a quadratic function to bivariate numerical data that suggests a quadratic association and interpret any intercepts or the vertex of the model. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.9,Fit an exponential function to bivariate numerical data that suggests an exponential association. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.1,Construct a two-way frequency table summarizing bivariate categorical data. Interpret joint and marginal frequencies and determine possible associations in terms of a real-world context.,Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.2,"Given marginal and conditional relative frequencies, construct a two-way relative frequency table summarizing categorical bivariate data.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.3,"Given a two-way relative frequency table or segmented bar graph summarizing categorical bivariate data, interpret joint, marginal and conditional relative frequencies in terms of a real-world context.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.4,"Given a relative frequency table, construct and interpret a segmented bar graph.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.5,Solve real-world problems involving univariate and bivariate categorical data.,Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.1,"Describe events as subsets of a sample space using characteristics, or categories, of the outcomes, or as unions, intersections or complements of other events.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.2,Determine if events A and B are independent by calculating the product of their probabilities.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.3,Calculate the conditional probability of two events and interpret the result in terms of its context.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.4,Interpret the independence of two events using conditional probability.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.5,"Given a two-way table containing data from a population, interpret the joint and marginal relative frequencies as empirical probabilities and the conditional relative frequencies as empirical conditional probabilities. Use those probabilities to determine whether characteristics in the population are approximately independent.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.6,Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.7,"Apply the addition rule for probability, taking into consideration whether the events are mutually exclusive, and interpret the result in terms of the model and its context.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.8,"Apply the general multiplication rule for probability, taking into consideration whether the events are independent, and interpret the result in terms of the context.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.9,"Apply the addition and multiplication rules for counting to solve mathematical and real-world problems, including problems involving probability.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.10,"Given a mathematical or real-world situation, calculate the appropriate permutation or combination.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.1,Distinguish between a population parameter and a sample statistic.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.2,Explain how random sampling produces data that is representative of a population.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.3,Compare and contrast sampling methods.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.4,Generate multiple samples or simulated samples of the same size to measure the variation in estimates or predictions.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.5,Determine if a specific model is consistent within a given process by analyzing the data distribution from a data-generating process.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.6,"Determine the appropriate design, survey, experiment or observational study, based on the purpose. Articulate the types of questions appropriate for each type of design.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.7,"Compare and contrast surveys, experiments and observational studies.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.8,Draw inferences about two populations using data and statistical analysis from two random samples.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.9,Compare two treatments using data from an experiment in which the treatments are assigned randomly.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.10,Determine whether differences between parameters are significant using simulations.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.11,"Evaluate reports based on data from diverse media, print and digital resources by interpreting graphs and tables; evaluating data-based arguments; determining whether a valid sampling method was used; or interpreting provided statistics.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.1,Define a random variable for a quantity of interest by assigning a numerical value to each individual outcome in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.2,Develop a probability distribution for a discrete random variable using theoretical probabilities. Find the expected value and interpret it as the mean of the discrete distribution.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.3,Develop a probability distribution for a discrete random variable using empirical probabilities. Find the expected value and interpret it as the mean of the discrete distribution.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.4,"Given a binomial distribution, calculate and interpret the expected value. Solve real-world problems involving binomial distributions.",Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.5,Solve real-world problems involving geometric distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.6,Solve real-world problems involving Poisson distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.7,Weigh the possible outcomes of a decision by assigning probabilities to payoff values and finding expected values and standard deviations. Evaluate and compare strategies on the basis of the calculated expected values and standard deviations.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.8,"Apply probabilities to make fair decisions, such as drawing from lots or using a random number generator.",Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.F.1.1,"Given an equation or graph that defines a function, determine the function type. Given an input-output table, determine a function type that could represent it.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.2,"Given a function represented in function notation, evaluate the function for an input in its domain. For a real-world context, interpret the output.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.3,"Calculate and interpret the average rate of change of a real-world situation represented graphically, algebraically or in a table over a specified interval.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.4,Write an algebraic expression that represents the difference quotient of a function. Calculate the numerical value of the difference quotient at a given pair of points.,"Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.5,"Compare key features of linear functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.6,"Compare key features of linear and nonlinear functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.7,"Compare key features of two functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.8,"Determine whether a linear, quadratic or exponential function best models a given real-world situation.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.9,"Determine whether a function is even, odd or neither when represented algebraically, graphically or in a table.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.1,"Identify the effect on the graph or table of a given function after replacing f(x) by f(x)+k,kf(x), f(kx) and f(x+k) for specific values of k.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.2,Identify the effect on the graph of a given function of two or more transformations defined by adding a real number to the x- or y- values or multiplying the x- or y- values by a real number.,Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.3,"Given the graph or table of f(x) and the graph or table of f(x)+k,kf(x), f(kx) and f(x+k), state the type of transformation and find the value of the real number k.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.4,"Given the graph or table of values of two or more transformations of a function, state the type of transformation and find the values of the real number that defines the transformation.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.5,"Given a table, equation or graph that represents a function, create a corresponding table, equation or graph of the transformed function defined by adding a real number to the x- or y-values or multiplying the x- or y-values by a real number.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.1,"Given a mathematical or real-world context, combine two functions, limited to linear and quadratic, using arithmetic operations. When appropriate, include domain restrictions for the new function.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.2,"Given a mathematical or real-world context, combine two or more functions, limited to linear, quadratic, exponential and polynomial, using arithmetic operations. When appropriate, include domain restrictions for the new function.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.3,Solve mathematical and real-world problems involving functions that have been combined using arithmetic operations.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.4,Represent the composition of two functions algebraically or in a table. Determine the domain and range of the composite function.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.5,Solve mathematical and real-world problems involving composite functions.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.6,"Determine whether an inverse function exists by analyzing tables, graphs and equations.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.7,"Represent the inverse of a function algebraically, graphically or in a table. Use composition of functions to verify that one function is the inverse of the other.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.8,Produce an invertible function from a non-invertible function by restricting the domain.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.9,Solve mathematical and real-world problems involving inverse functions.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.FL.1.1,"Extend previous knowledge of operations of fractions, percentages and decimals to solve real-world problems involving money and business.",Build mathematical foundations for financial literacy.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.1.2,Extend previous knowledge of ratios and proportional relationships to solve real-world problems involving money and business.,Build mathematical foundations for financial literacy.,Mathematics (B.E.S.T.),912,Financial Literacy
