Learner Outcome,Competency,Description,Component Skill,Emerging,Developing,Proficient,Applying
Original Thinkers for an Uncertain World,Problem Solving(OT.PS.2),,Proposing improvements (OT.PS.2.e),I can describe the outcomes of strategies that have been tried to solve a given problem in the past.,I can predict the outcomes of potential new solutions to consider how approaches might be improved.,I observe the outcomes of new solutions to develop refinements and/or additional/alternate approaches that might further improve a situation.,I evaluate the positive and negative outcomes of new solutions to propose optimum strategies for how refinements and/or additional/alternate approaches might further improve a situation.
Generous Collaborators for Tough Problems,Diverse Perspectives(GC.SA.1),Recognize the value of differences. Recognize and act upon the importance of diverse perspectives.,Collaborating across difference(GC.SA.1.a),I can collaborate with people who have diverse perspectives and backgrounds.,I can discuss differences with people who have diverse perspectives and backgrounds.,I collaborate with people who have diverse perspectives and backgrounds in order to improve outcomes.,I engage and actively look for ways to collaborate with people who have diverse perspectives and backgrounds in order to improve outcomes.
Generous Collaborators for Tough Problems,Diverse Perspectives(GC.SA.1),,Situating my perspective(GC.SA.1.b),I can identify the facts that I may hold about a given circumstance.,"I can identify the facts, assumptions, and biases that I may hold about a given circumstance.","I identify the facts, assumptions, and biases that form my perspective on a given issue/circumstance and analyze relationships among them.","I identify the facts, assumptions, and biases that form my perspective on a given issue/circumstance and analyze them for oppressive or exclusionary elements (e.g., racism, homophobia, etc.)."
Generous Collaborators for Tough Problems,Navigating Power(GC.SA.2),Read and manage social dynamics. Critically read social situations in a variety of contexts.,Holders of power(GC.SA.2.a),I can identify the holder(s) of power in historical social and political situations/contexts.,I can identify the primary holder(s) of power in historical social and political situations/contexts.,"I identify the primary holder(s) of power in social, political, and cultural situations/contexts, and explain my rationale.","I identify the primary holder(s) of power in social, political, cultural, and economic situations/contexts, analyze the relationship between them, and explain my rationale."
Generous Collaborators for Tough Problems,Navigating Power(GC.SA.2),,Race and identity(GC.SA.2.b),I can identify something I have learned about race and/or other identities that impact power dynamics of a given social situation/context.,I can identify something I have heard about race and/or other identities that could be impacting the power dynamics of a social situation/context.,I analyze how dominant narratives about race and/or other identities are impacting the power dynamics of a social situation/context.,"I analyze how dominant narratives about race and/or other identities are impacting the power dynamics of a social situation/context, and how I might respond to that in order to reduce inequity."
Generous Collaborators for Tough Problems,Healthy Relationships(GC.IS.1),Build and maintain healthy relationships.,Personal needs & boundaries(GC.IS.1.a),I can identify and describe how people build relationships and what boundaries look like within those relationships.,I can identify components of healthy relationships and boundaries for myself and describe how they do or do not apply in various personal contexts.,"I identify and describe components of healthy relationships and boundaries for myself, while also recognizing that someone’s personal needs and definition of ‘healthy boundaries’ might differ.","I analyze the components of healthy relationships and what my own boundaries are; I also recognize that someone’s needs and definition of a ‘healthy relationship’ may differ, and adjust accordingly."
Generous Collaborators for Tough Problems,Healthy Relationships(GC.IS.1),,Effective communication(GC.IS.1.b),I can describe what effective communication and social skills look like.,I can reflect on and describe my communication and social skills in daily interactions.,"I evaluate my current communication and social skills with peers, teachers, and other adults, and I use these skills to help build and maintain healthy interactions.","I routinely reflect on and improve my communication and social skills with peers, teachers, and other adults to build and maintain healthy interactions."
Generous Collaborators for Tough Problems,Negotiating Conflict(GC.IS.2),Negotiate solutions to conflict. Employ strategies for negotiation in interpersonal conflicts.,Managing disagreement(GC.IS.2.a),"When I disagree with someone, I can acknowledge and accept that there is a disagreement.","When I disagree with someone, I can acknowledge and restate the other person’s viewpoint and respectfully explain my own.","When I disagree with someone, I acknowledge and validate the other person’s viewpoint and use counter-argument respectfully to explain my own.","When I disagree with someone, I acknowledge and validate the other person’s viewpoint and ask questions in order to compare it with my own before explaining my viewpoint."
Generous Collaborators for Tough Problems,Negotiating Conflict(GC.IS.2),,Adjusting my viewpoint(GC.IS.2.b),"Within negotiation, I can identify when and why I choose to maintain or adjust my original viewpoint.","When presented with different perspectives, I can explain why I maintain or adjust my original viewpoint.","When presented with conflict, I justify why I maintain my original viewpoint using evidence, personal experience, and/or data, or explain the process I used to shift my position.",I describe examples of past conflicts where I maintained or adjusted my original viewpoint.
Generous Collaborators for Tough Problems,Building Empathy(GC.IS.3),Cultivate my understanding of others. Cultivate empathy for others.,Understanding others’ viewpoints(GC.IS.3.a),"I can attempt to identify the thoughts, feelings, and experiences of people with diverse backgrounds, perspectives, and identities.","I can ask questions in order to attempt to describe the thoughts, feelings, and experiences of people with diverse backgrounds, perspectives, and identities.","I use a process of inquiry (questioning, research, interviews, etc.) to describe the thoughts, feelings, and experiences of people with diverse backgrounds, perspectives, and identities.","I apply a process of inquiry to capture and amplify the thoughts, feelings, and experiences of people with diverse backgrounds, perspectives, and identities with whom I interact."
Generous Collaborators for Tough Problems,Building Empathy(GC.IS.3),,Recognizing my impact(GC.IS.3.b),I can explore how others might have experienced/responded to my actions and words.,I can accurately identify how others might have experienced/responded to my actions and words.,I reflect on how others might experience/respond to my actions and words before I share them publicly.,I interrogate my knowledge of and assumptions about others to expand my understanding of how they might experience/respond to my actions and words before I share them.
Generous Collaborators for Tough Problems,Building Empathy(GC.IS.3),,Showing understanding(GC.IS.3.c),I can recognize my connections with other people when they involve respect and understanding.,I can recognize connections between people when they show each other respect and understanding.,"I build connections with other people by considering their emotions, perspectives, and experiences.","I build connections with other people by showing them that I have considered, and care about, their emotions, perspectives, and experiences."
Generous Collaborators for Tough Problems,Productive Collaboration(GC.IS.4),Work productively with a group.,Valuing others(GC.IS.4.a),I can value the contributions of others.,I can express to others that I value their contributions in order to encourage them.,I articulate to others the specific ways in which I value their contributions and effectively embed constructive feedback.,I maximize productivity and quality of output by encouraging group members to contribute.
Generous Collaborators for Tough Problems,Productive Collaboration(GC.IS.4),,Navigating roles(GC.IS.4.b),"I can identify and describe my role on a team and the contribution I will make, and am aware of the value of roles.",I can identify my role and describe ways I can make a contribution and support team members in reaching shared goals.,I identify discrete needs and roles in group work and defer to teammates’ strengths and expertise to achieve them.,I seek and find effective ways to help my teammates make valuable contributions to our shared goals (including leading or delegating authority as appropriate).
Generous Collaborators for Tough Problems,Productive Collaboration(GC.IS.4),,Reflecting on our work(GC.IS.4.c),I can articulate how I think my group is feeling about our work and why I think they feel that way.,I can contribute to shared reflection and discussion of how we felt during our work together after group work is complete.,I facilitate shared reflection and discussion of how we felt during our work together after group work is complete.,"I implement and evaluate processes for providing and receiving constructive feedback, synthesizing and incorporating it to improve future collaboration."
Generous Collaborators for Tough Problems,Community Advocacy(GC.SAg.1),Advocate for myself and others. Engage with my community to advocate for my own and others’ rights.,Power dynamics(GC.SAg.1.a),"I can explain what advocacy/action I think will be most impactful for my community, and why I think that.","I can name a power dynamic that I think is affecting my community/context, and suggest action/advocacy that I think would make a difference.",I evaluate how power dynamics might be impacting my community/context to determine what advocacy/action will be most impactful.,I apply my analysis of the power dynamics in my community/context to intentionally disrupt inequitable outcomes and racial disparities.
Generous Collaborators for Tough Problems,Community Advocacy(GC.SAg.1),,Self and injustice(GC.SAg.1.b),"I can describe how to be an upstander for myself and others when faced with exclusion, prejudice, or injustice.","I can be an upstander for myself and others when I see exclusion, prejudice, or injustice.","I actively try to disrupt and stand up to exclusion, prejudice, and discrimination in my community.","I reflect on how I challenge exclusionary, prejudicial, and discriminatory practices, beliefs, and policies to grow the effectiveness of my efforts."
Generous Collaborators for Tough Problems,Community Advocacy(GC.SAg.1),,Case-making(GC.SAg.1.c),"I can convey ideas and language that connect to unjust policies, practices, and/or ideas.","I can convey ideas and language in a range of formats (conversational, written, public speaking, etc.) to describe unjust policies, practices, and/or ideas.","I convey ideas and language in a range of formats that clearly describe unjust policies, practices, and ideas, and seek new avenues to contribute to ongoing conversations.","I convincingly convey ideas and language in a range of formats that clearly describe unjust policies, practices, and ideas, and refine my messaging based on ongoing conversations."
Generous Collaborators for Tough Problems,Community Mobilization(GC.SAg.2),Inspire and organize others. Recognize and act upon my capacity to mobilize others for the benefit of my communities.,Effective advocacy(GC.SAg.2.a),I consider the likely effectiveness of proposed actions and advocacy for improvement of my school community.,"I consider the appropriateness of my own actions and advocacy, and can describe how they may have affected people with similar beliefs.",I modify my actions and advocacy to enhance my effectiveness in order to better create momentum toward goals that benefit my communities.,"I determine how my actions and advocacy are effective by evaluating evidence of short- and long-term results and by documenting implications, issues, shortfalls, and remedies for future action."
Generous Collaborators for Tough Problems,Community Mobilization(GC.SAg.2),,Removing barriers(GC.SAg.2.b),"I can identify actions that are exclusionary, prejudiced, and/or discriminatory, and how someone might remove such barriers for myself or others.",I effectively articulate how I can use my relationships and strengths to contribute to collective actions that remove barriers and discrimination for myself and/or others.,"I help remove barriers, exclusion, prejudice, and discrimination for myself and others in the context of collective action.",I intentionally remove systemic barriers for myself and others by joining with people of diverse backgrounds and identities to plan and carry out collective action.
Generous Collaborators for Tough Problems,Community Mobilization(GC.SAg.2),,Building relationships(GC.SAg.2.c),I can describe ways in which community members help improve their communities.,I can engage with others to help improve our communities.,I contribute to building trusting relationships and group structures to create momentum and action toward goals that benefit my communities.,"I build trusting relationships and group structures to create momentum and action toward goals that benefit my communities and build toward a future that is sustainable, equitable, and just."
Learners for Life,Self-Awareness(LL.SAw.1),"Understand my physical and emotional health. Understand measures of (and feel connected to) my own physical, intellectual, social, and emotional wellness.",Thoughts & behavior (LL.SAw.1.a),"I can recognize and describe my own emotions, thoughts, values, and strengths.","I can recognize and describe my own emotions, thoughts, values, and strengths and explain how they influence my behavior.","I describe my own emotions, thoughts, values, and strengths, and explain their origins.","I describe my own emotions, thoughts, values, and strengths, and examine potential circumstances in which they may change."
Learners for Life,Self-Awareness(LL.SAw.1),,Meeting my needs (LL.SAw.1.b),I can identify when personal needs are and/or are not being met.,"I can identify when personal needs are and/or are not being met, and describe the accompanying conditions if possible.","I identify when my personal needs are and are not being met, and identify and describe patterns of conditions.",I identify when and how my personal needs are and are not being met based on patterns of conditions and my responses to them.
Learners for Life,Self-Awareness(LL.SAw.1),,Biofeedback (LL.SAw.1.c),I can name that I experience emotional and physiological responses when my needs are and/or are not being met.,I can identify the general emotional and physiological responses when my needs are and/or are not being met.,I describe the corresponding emotional and physiological responses when my needs are and/or are not being met.,"I describe the corresponding emotional and physiological responses, and apply strategies to pay attention to my body to decrease stress and increase agency."
Learners for Life,Self-Awareness(LL.SAw.1),,Group identity (LL.SAw.1.d),I can talk about myself and describe my various group identities.,I can describe myself including an awareness of and comfort with my membership in multiple groups in society.,I describe how my different social identities create important and unique aspects of who I am.,"I describe how my social identities create unique aspects of who I am, how these identities impact my physical, intellectual, social, and emotional health, and how I productively react to these impacts."
Learners for Life,Recognizing Conflict(LL.SAw.2),Cope constructively with conflict. Productively recognize personal experience of conflict ,Recognizing conflict (LL.SAw.2.a),"I can acknowledge a moment during which I felt in conflict with another’s ideas, claims, or actions when it is pointed out to me by someone else.","I can reflect on a moment during which I felt in conflict with another’s ideas, claims, or actions.","I identify moments during which I feel in conflict with another’s ideas, claims, or actions.","I identify and analyze a moment during which I feel I am in conflict with another’s ideas, claims, or actions, and call attention to it in a way that does not escalate the conflict."
Learners for Life,Recognizing Conflict(LL.SAw.2),,Reacting to conflict (LL.SAw.2.b),"I can identify possible or common physical, mental, and emotional reactions to conflict.","I can recognize the physical, mental, and emotional reactions I experience in a moment of conflict.","I describe the physical, mental, and emotional reactions I experience in a moment of conflict and identify strategies to reduce the negative effects.","I describe the physical, mental, and emotional reactions I experience in a moment of conflict, identify a strategy to reduce the negative effects, and try to apply that strategy in the moment."
Learners for Life,Recognizing Conflict(LL.SAw.2),,Drivers of conflict (LL.SAw.2.c),I can identify the driving forces within others that are contributing to a moment of conflict.,I can identify the driving forces within myself that are contributing to a moment of conflict.,"I identify and analyze the driving forces within myself, others, and a larger system that are contributing to a moment of conflict.","I analyze and reflect on the driving forces within myself, others, and a larger system that are contributing to a moment of conflict, so that I am spotlighting what is at the root of the conflict."
Learners for Life,Understanding Self(LL.SAw.3),"Know my strengths and areas for growth. Identify strengths, interests, and growth areas for learning.",Academic strengths (LL.SAw.3.a),I can describe my academic strengths and challenge areas.,"I can describe my academic strengths and challenge areas, and how they shifted through personal struggle.","I describe my academic strengths and challenge areas, how they contributed to my previous performance in specific tasks, and apply that to a new task or challenge.","I use my knowledge of my academic strengths and challenge areas and previous successes/setbacks, to create meaningful plans to help me accomplish new tasks and face new challenges."
Learners for Life,Understanding Self(LL.SAw.3),,Skills & mindsets (LL.SAw.3.b),I can identify and describe skills and mindsets that are helpful for success in my postsecondary life.,"I can convincingly describe the skills and mindsets that make a person responsible, accountable, and prepared for what I want my postsecondary life to look like.","I explain how I have demonstrated skills and mindsets that make me personally responsible, accountable, and prepared for my postsecondary goals and interests.","I explain how I have demonstrated skills and mindsets that make me personally responsible, accountable, and prepared for my postsecondary goals and interests, and articulate how I plan to continue developing these skills and mindsets."
Learners for Life,Receiving Feedback(LL.SM.1),Seek and act on feedback from others.,Absorbing feedback (LL.SM.1.a),I can listen to feedback related to my performance.,"I can listen to, consider, and act on feedback related to my performance.",I ask for feedback in order to improve my performance.,I ask for feedback from people outside of my normal circle in order to improve my performance.
Learners for Life,Receiving Feedback(LL.SM.1),,Evaluating feedback (LL.SM.1.b),I can identify specific points of feedback I choose to accept and not to accept.,I can explain why I chose to accept or not accept specific points of feedback.,"I analyze why people give me the specific points of feedback they do, and incorporate that into my decision of whether or not to choose to accept those points.","I explain and defend why I chose to accept or not accept specific points of feedback, and analyze feedback for any larger patterns that I might apply in the future."
Learners for Life,Pursuing Goals(LL.SM.2),Set goals and work to achieve them. Demonstrate the ability to understand current status relative my to my goals. ,Resource management (LL.SM.2.a),"I am aware when I do not have the resources I need to complete a goal, task, or project.","I can identify the resources that are needed to complete a goal, task, or project.","I identify gaps in my available resources compared to the resources I will need for a goal, task, or project, and develop strategies to fill those gaps.","I identify gaps in my available resources compared to the resources I will need for a goal, task, or project, and develop strategies and self-advocate to fill those gaps."
Learners for Life,Pursuing Goals(LL.SM.2),,Action planning (LL.SM.2.b),I can capture my ideas toward a plan for action.,I can translate my ideas and findings into individual or collaborative action plans.,"I translate my ideas, concerns, and findings into action plans that successfully meet identified goals.","I translate my ideas, concerns, and findings into action plans and effectively communicate how those plans will achieve my goal."
Learners for Life,Pursuing Goals(LL.SM.2),,Adapting my approach (LL.SM.2.c),I can identify adapted approaches to complete a task or achieve a goal.,I can explain adaptations to my approach to complete a task or achieve a goal.,"I create and evaluate adaptations to my approach to successfully complete a task, solve a problem, and achieve a goal.","I create and evaluate adaptations to my approach to successfully complete a task, solve a problem, and achieve a goal, as well as make plans for predicted potential obstacles and challenges."
Learners for Life,Pursuing Goals(LL.SM.2),,Planning for postsecondary (LL.SM.2.d),I understand the steps to start a plan for postsecondary goals.,I can navigate the steps toward implementing a plan for postsecondary goals by considering personal strengths and challenges.,I implement a plan for postsecondary goals by building on personal strengths and addressing challenges.,I skillfully build on personal strengths and personal challenges to create a postsecondary plan that accounts for potential obstacles.
Learners for Life,Self-Regulation(LL.SM.3),Manage emotions and behavior. Effectively regulate my own emotions and thoughts.,Self-monitoring (LL.SM.3.a),"I can identify productive mindful strategies (breathing, exercise, music, etc.), and describe how they might help me.",I can make a connection between the emotions I am experiencing in a moment of conflict and at least one productive mindful strategy that might help me process and move forward.,"I apply productive self-monitoring strategies (breathing, exercise, music, etc.) when meeting a goal or experiencing challenges.","I apply productive self-monitoring strategies (breathing, exercise, music, etc.) to process emotions and reframe thoughts and behaviors when meeting a goal or experiencing challenges."
Learners for Life,Self-Regulation(LL.SM.3),,Self-reflection (LL.SM.3.b),I can use self-reflection to determine if my emotions and feelings are proportional to a situation.,I can use self-reflection to identify trends in how different situations did and did not make me feel.,I anticipate when a situation is going to make me feel a certain way based on my past experiences.,I prepare myself to manage my reaction to anticipated situations.
Learners for Life,Self-Motivation(LL.SD.1),Nurture a sense of purpose. Explore and use my own sources of motivation.,Identifying engagement (LL.SD.1.a),I can identify and reflect on when I feel most engaged and/or motivated in my learning.,I can identify and reflect on the conditions that make me feel capable of success.,I recreate or structure conditions for learning that will best support my success.,"I recreate or structure conditions for learning that will best support my success, and adjust the conditions I create based on what I want to learn."
Learners for Life,Self-Motivation(LL.SD.1),,Linking interests (LL.SD.1.b),I am aware of the influence that personal interests have on my learning.,I can connect my personal interests or personal context to making choices in my learning.,I intentionally find personal relevance in my work by aligning it with my interests or goals.,I intentionally find personal relevance in my work by aligning it to interests or goals and reflecting on progress towards mastery in order to build curiosity for a given topic.
Learners for Life,Self-Motivation(LL.SD.1),,Experiencing joy (LL.SD.1.c),I can recognize when a past learning experience brings me joy.,I can recognize when a learning experience is bringing me joy.,I identify when a learning experience brings me joy and explain why it is bringing me joy.,I recreate the conditions that have led to me experiencing learning as an activity that brings me joy.
Learners for Life,Wayfinding(LL.SD.2),Navigate my learning path. Recognize and pursue the best path forward for my learning.,Weighing options (LL.SD.2.a),"When faced with a decision about how best to learn or discover new content and skills, I examine practical factors (timelines, location, logistics) that could affect my success.","When faced with a decision about how best to learn or discover new content and skills, I identify multiple options for how to approach my learning journey.","When faced with a decision about how best to learn or discover new content and skills, I consider the implications of each of those options in light of practical factors, my preferences, and my past experiences.","I map an effective pathway to learn or discover new content and skills informed by practical factors, my preferences, and my past experiences."
Learners for Life,Wayfinding(LL.SD.2),,Iterative thinking (LL.SD.2.b),I can recognize when new information might impact my original thinking and/or learning plans.,"When faced with new information, I can modify my original thinking to incorporate the new information that I have learned.",I modify my thinking and plans to incorporate new information that I learn.,"I modify my original thinking and plans to incorporate new information that I learn, and I articulate how that modification impacts my thinking/plans."
Learners for Life,Self-Advocacy(LL.SD.3),Seek out the support I need.,Identifying allies (LL.SD.3.a),I can identify the people who will have an impact on the outcome of my work.,I can identify the people who will have an impact on the outcome of my work and articulate their goals.,"I clearly communicate to relevant stakeholders about a situation I’m in, and ask for the support I need.","I clearly communicate to relevant stakeholders about a situation I’m in, and make a compelling case to receive the support I need."
Learners for Life,Self-Advocacy(LL.SD.3),,Visioning success (LL.SD.3.b),I can describe a goal I have related to my own success.,"I can identify a goal I have for myself, and articulate what advice/mentorship might help me to get closer to the success I am seeking.",I seek advice and/or mentorship to support me in achieving my goals for personal growth.,"I describe my vision for success, and I intentionally build a supportive community that will help me to move toward that success."
