Benchmark#,Description,Idea/Standard,Subject,Grade,Body Of Knowledge/ Strand
MA.912.DP.2.1,"For two or more sets of numerical univariate data, calculate and compare the appropriate measures of center and measures of variability, accounting for possible effects of outliers. Interpret any notable features of the shape of the data distribution.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.2,Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.3,Estimate population percentages from data that has been fit to the normal distribution.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.4,Fit a linear function to bivariate numerical data that suggests a linear association and interpret the slope and y-intercept of the model. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.5,"Given a scatter plot that represents bivariate numerical data, assess the fit of a given linear function by plotting and analyzing residuals.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.6,"Given a scatter plot with a line of fit and residuals, determine the strength and direction of the correlation. Interpret strength and direction within a real-world context.",Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.7,Compute the correlation coefficient of a linear model using technology. Interpret the strength and direction of the correlation coefficient.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.8,Fit a quadratic function to bivariate numerical data that suggests a quadratic association and interpret any intercepts or the vertex of the model. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.2.9,Fit an exponential function to bivariate numerical data that suggests an exponential association. Use the model to solve real-world problems in terms of the context of the data.,Solve problems involving univariate and bivariate numerical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.1,Construct a two-way frequency table summarizing bivariate categorical data. Interpret joint and marginal frequencies and determine possible associations in terms of a real-world context.,Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.2,"Given marginal and conditional relative frequencies, construct a two-way relative frequency table summarizing categorical bivariate data.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.3,"Given a two-way relative frequency table or segmented bar graph summarizing categorical bivariate data, interpret joint, marginal and conditional relative frequencies in terms of a real-world context.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.4,"Given a relative frequency table, construct and interpret a segmented bar graph.",Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.3.5,Solve real-world problems involving univariate and bivariate categorical data.,Solve problems involving categorical data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.1,"Describe events as subsets of a sample space using characteristics, or categories, of the outcomes, or as unions, intersections or complements of other events.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.2,Determine if events A and B are independent by calculating the product of their probabilities.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.3,Calculate the conditional probability of two events and interpret the result in terms of its context.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.4,Interpret the independence of two events using conditional probability.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.5,"Given a two-way table containing data from a population, interpret the joint and marginal relative frequencies as empirical probabilities and the conditional relative frequencies as empirical conditional probabilities. Use those probabilities to determine whether characteristics in the population are approximately independent.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.6,Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.,Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.7,"Apply the addition rule for probability, taking into consideration whether the events are mutually exclusive, and interpret the result in terms of the model and its context.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.8,"Apply the general multiplication rule for probability, taking into consideration whether the events are independent, and interpret the result in terms of the context.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.9,"Apply the addition and multiplication rules for counting to solve mathematical and real-world problems, including problems involving probability.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.4.10,"Given a mathematical or real-world situation, calculate the appropriate permutation or combination.",Use and interpret independence and probability.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.1,Distinguish between a population parameter and a sample statistic.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.2,Explain how random sampling produces data that is representative of a population.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.3,Compare and contrast sampling methods.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.4,Generate multiple samples or simulated samples of the same size to measure the variation in estimates or predictions.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.5,Determine if a specific model is consistent within a given process by analyzing the data distribution from a data-generating process.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.6,"Determine the appropriate design, survey, experiment or observational study, based on the purpose. Articulate the types of questions appropriate for each type of design.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.7,"Compare and contrast surveys, experiments and observational studies.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.8,Draw inferences about two populations using data and statistical analysis from two random samples.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.9,Compare two treatments using data from an experiment in which the treatments are assigned randomly.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.10,Determine whether differences between parameters are significant using simulations.,Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.5.11,"Evaluate reports based on data from diverse media, print and digital resources by interpreting graphs and tables; evaluating data-based arguments; determining whether a valid sampling method was used; or interpreting provided statistics.",Determine methods of data collection and make inferences from collected data.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.1,Define a random variable for a quantity of interest by assigning a numerical value to each individual outcome in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.2,Develop a probability distribution for a discrete random variable using theoretical probabilities. Find the expected value and interpret it as the mean of the discrete distribution.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.3,Develop a probability distribution for a discrete random variable using empirical probabilities. Find the expected value and interpret it as the mean of the discrete distribution.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.4,"Given a binomial distribution, calculate and interpret the expected value. Solve real-world problems involving binomial distributions.",Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.5,Solve real-world problems involving geometric distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.6,Solve real-world problems involving Poisson distributions.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.7,Weigh the possible outcomes of a decision by assigning probabilities to payoff values and finding expected values and standard deviations. Evaluate and compare strategies on the basis of the calculated expected values and standard deviations.,Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.DP.6.8,"Apply probabilities to make fair decisions, such as drawing from lots or using a random number generator.",Use probability distributions to solve problems.,Mathematics (B.E.S.T.),912,Data Analysis and Probability
MA.912.F.1.1,"Given an equation or graph that defines a function, determine the function type. Given an input-output table, determine a function type that could represent it.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.2,"Given a function represented in function notation, evaluate the function for an input in its domain. For a real-world context, interpret the output.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.3,"Calculate and interpret the average rate of change of a real-world situation represented graphically, algebraically or in a table over a specified interval.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.4,Write an algebraic expression that represents the difference quotient of a function. Calculate the numerical value of the difference quotient at a given pair of points.,"Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.5,"Compare key features of linear functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.6,"Compare key features of linear and nonlinear functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.7,"Compare key features of two functions each represented algebraically, graphically, in tables or written descriptions.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.8,"Determine whether a linear, quadratic or exponential function best models a given real-world situation.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.1.9,"Determine whether a function is even, odd or neither when represented algebraically, graphically or in a table.","Understand, compare and analyze properties of functions.",Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.1,"Identify the effect on the graph or table of a given function after replacing f(x) by f(x)+k,kf(x), f(kx) and f(x+k) for specific values of k.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.2,Identify the effect on the graph of a given function of two or more transformations defined by adding a real number to the x- or y- values or multiplying the x- or y- values by a real number.,Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.3,"Given the graph or table of f(x) and the graph or table of f(x)+k,kf(x), f(kx) and f(x+k), state the type of transformation and find the value of the real number k.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.4,"Given the graph or table of values of two or more transformations of a function, state the type of transformation and find the values of the real number that defines the transformation.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.2.5,"Given a table, equation or graph that represents a function, create a corresponding table, equation or graph of the transformed function defined by adding a real number to the x- or y-values or multiplying the x- or y-values by a real number.",Identify and describe the effects of transformations on functions. Create new functions given transformations.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.1,"Given a mathematical or real-world context, combine two functions, limited to linear and quadratic, using arithmetic operations. When appropriate, include domain restrictions for the new function.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.2,"Given a mathematical or real-world context, combine two or more functions, limited to linear, quadratic, exponential and polynomial, using arithmetic operations. When appropriate, include domain restrictions for the new function.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.3,Solve mathematical and real-world problems involving functions that have been combined using arithmetic operations.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.4,Represent the composition of two functions algebraically or in a table. Determine the domain and range of the composite function.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.5,Solve mathematical and real-world problems involving composite functions.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.6,"Determine whether an inverse function exists by analyzing tables, graphs and equations.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.7,"Represent the inverse of a function algebraically, graphically or in a table. Use composition of functions to verify that one function is the inverse of the other.",Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.8,Produce an invertible function from a non-invertible function by restricting the domain.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.F.3.9,Solve mathematical and real-world problems involving inverse functions.,Create new functions from existing functions.,Mathematics (B.E.S.T.),912,Functions
MA.912.FL.1.1,"Extend previous knowledge of operations of fractions, percentages and decimals to solve real-world problems involving money and business.",Build mathematical foundations for financial literacy.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.1.2,Extend previous knowledge of ratios and proportional relationships to solve real-world problems involving money and business.,Build mathematical foundations for financial literacy.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.1.3,Solve real-world problems involving weighted averages using spreadsheets and other technology.,Build mathematical foundations for financial literacy.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.1,"Given assets and liabilities, calculate net worth using spreadsheets and other technology.",Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.2,"Solve real-world problems involving profits, costs and revenues using spreadsheets and other technology.",Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.3,"Explain how consumer price index (CPI), gross domestic product (GDP), stock indices, unemployment rate and trade deficit are calculated. Interpret their value in terms of the context.",Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.4,"Given current exchange rates, convert between currencies. Solve real-world problems involving exchange rates.",Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.5,Develop budgets that fit within various incomes using spreadsheets and other technology.,Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.2.6,"Given a real-world scenario, complete and calculate federal income tax using spreadsheets and other technology.",Develop an understanding of basic accounting and economic principles.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.1,"Compare simple, compound and continuously compounded interest over time.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.2,"Solve real-world problems involving simple, compound and continuously compounded interest.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.3,Solve real-world problems involving present value and future value of money,Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.4,Explain the relationship between simple interest and linear growth. Explain the relationship between compound interest and exponential growth and the relationship between continuously compounded interest and exponential growth.,Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.5,Compare the advantages and disadvantages of using cash versus personal financing options.,Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.6,"Calculate the finance charges and total amount due on a bill using various forms of credit using estimation, spreadsheets and other technology.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.7,Compare the advantages and disadvantages of different types of student loans by manipulating a variety of variables and calculating the total cost using spreadsheets and other technology.,Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.8,"Calculate using spreadsheets and other technology the total cost of purchasing consumer durables over time given different monthly payments, down payments, financing options and fees.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.9,Compare the advantages and disadvantages of different types of mortgage loans by manipulating a variety of variables and calculating fees and total cost using spreadsheets and other technology.,Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.10,"Analyze credit scores qualitatively. Explain how short-term and long-term purchases, including deferred payments, may increase or decrease credit scores. Explain how credit scores influence buying power.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.11,"Given a real-world scenario, establish a plan to pay off debt.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.3.12,"Given fixed costs, per item costs and selling price, determine the break-even point for sales volume.",Describe the advantages and disadvantages of short-term and long-term purchases.,Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.1,"Calculate and compare various options, deductibles and fees for various types of insurance policies using spreadsheets and other technology.","Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.2,Compare the advantages and disadvantages for adding on a one-time warranty to a purchase using spreadsheets and other technology.,"Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.3,Compare the advantages and disadvantages of various retirement savings plans using spreadsheets and other technology.,"Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.4,"Collect, organize and interpret data to determine an effective retirement savings plan to meet personal financial goals using spreadsheets and other technology.","Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.5,Compare different ways that portfolios can be diversified in investments.,"Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.FL.4.6,"Simulate the purchase of a stock portfolio with a set amount of money, and evaluate its worth over time considering gains, losses and selling, taking into account any associated fees.","Describe the advantages and disadvantages of financial and investment plans, including insurances.",Mathematics (B.E.S.T.),912,Financial Literacy
MA.912.GR.1.1,"Prove relationships and theorems about lines and angles. Solve mathematical and real-world problems involving postulates, relationships and theorems of lines and angles.",Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.1.2,"Prove triangle congruence or similarity using Side-Side-Side, Side-Angle-Side, Angle-Side-Angle, Angle-Angle-Side, Angle-Angle and Hypotenuse-Leg.",Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.1.3,"Prove relationships and theorems about triangles. Solve mathematical and real-world problems involving postulates, relationships and theorems of triangles.",Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.1.4,"Prove relationships and theorems about parallelograms. Solve mathematical and real-world problems involving postulates, relationships and theorems of parallelograms.",Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.1.5,"Prove relationships and theorems about trapezoids. Solve mathematical and real-world problems involving postulates, relationships and theorems of trapezoids.",Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.1.6,Solve mathematical and real-world problems involving congruence or similarity in two-dimensional figures.,Prove and apply geometric theorems to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.1,"Given a preimage and image, describe the transformation and represent the transformation algebraically using coordinates.",Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.2,Identify transformations that do or do not preserve distance.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.3,Identify a sequence of transformations that will map a given figure onto itself or onto another congruent or similar figure.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.4,"Determine symmetries of reflection, symmetries of rotation and symmetries of translation of a geometric figure.",Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.5,"Given a geometric figure and a sequence of transformations, draw the transformed figure on a coordinate plane.",Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.6,Apply rigid transformations to map one figure onto another to justify that the two figures are congruent.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.7,Justify the criteria for triangle congruence using the definition of congruence in terms of rigid transformations.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.8,Apply an appropriate transformation to map one figure onto another to justify that the two figures are similar.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.2.9,Justify the criteria for triangle similarity using the definition of similarity in terms of non-rigid transformations.,Apply properties of transformations to describe congruence or similarity.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.3.1,Determine the weighted average of two or more points on a line.,Use coordinate geometry to solve problems or prove relationships.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.3.2,"Given a mathematical context, use coordinate geometry to classify or justify definitions, properties and theorems involving circles, triangles or quadrilaterals.",Use coordinate geometry to solve problems or prove relationships.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.3.3,"Use coordinate geometry to solve mathematical and real-world geometric problems involving lines, circles, triangles and quadrilaterals.",Use coordinate geometry to solve problems or prove relationships.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.3.4,Use coordinate geometry to solve mathematical and real-world problems on the coordinate plane involving perimeter or area of polygons.,Use coordinate geometry to solve problems or prove relationships.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.1,Identify the shapes of two-dimensional cross-sections of three-dimensional figures.,Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.2,Identify three-dimensional objects generated by rotations of two-dimensional figures.,Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.3,Extend previous understanding of scale drawings and scale factors to determine how dilations affect the area of two-dimensional figures and the surface area or volume of three-dimensional figures.,Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.4,Solve mathematical and real-world problems involving the area of two-dimensional figures.,Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.5,"Solve mathematical and real-world problems involving the volume of three-dimensional figures limited to cylinders, pyramids, prisms, cones and spheres.",Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.4.6,"Solve mathematical and real-world problems involving the surface area of three-dimensional figures limited to cylinders, pyramids, prisms, cones and spheres.",Use geometric measurement and dimensions to solve problems.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.5.1,Construct a copy of a segment or an angle.,Make formal geometric constructions with a variety of tools and methods.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.5.2,"Construct the bisector of a segment or an angle, including the perpendicular bisector of a line segment.",Make formal geometric constructions with a variety of tools and methods.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.5.3,Construct the inscribed and circumscribed circles of a triangle.,Make formal geometric constructions with a variety of tools and methods.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.5.4,"Construct a regular polygon inscribed in a circle. Regular polygons are limited to triangles, quadrilaterals and hexagons.",Make formal geometric constructions with a variety of tools and methods.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.5.5,"Given a point outside a circle, construct a line tangent to the circle that passes through the given point.",Make formal geometric constructions with a variety of tools and methods.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.6.1,"Solve mathematical and real-world problems involving the length of a secant, tangent, segment or chord in a given circle.",Use properties and theorems related to circles.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.6.2,Solve mathematical and real-world problems involving the measures of arcs and related angles.,Use properties and theorems related to circles.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.6.3,Solve mathematical problems involving triangles and quadrilaterals inscribed in a circle.,Use properties and theorems related to circles.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.6.4,Solve mathematical and real-world problems involving the arc length and area of a sector in a given circle.,Use properties and theorems related to circles.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.6.5,Apply transformations to prove that all circles are similar.,Use properties and theorems related to circles.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.1,"Given a conic section, describe how it can result from the slicing of two cones.",Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.2,"Given a mathematical or real-world context, derive and create the equation of a circle using key features.",Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.3,Graph and solve mathematical and real-world problems that are modeled with an equation of a circle. Determine and interpret key features in terms of the context.,Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.4,"Given a mathematical or real-world context, derive and create the equation of a parabola using key features.",Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.5,Graph and solve mathematical and real-world problems that are modeled with an equation of a parabola. Determine and interpret key features in terms of the context.,Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.6,"Given a mathematical or real-world context, derive and create the equation of an ellipse using key features.",Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.7,Graph and solve mathematical and real-world problems that are modeled with an equation of an ellipse. Determine and interpret key features in terms of the context.,Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.8,"Given a mathematical or real-world context, derive and create the equation of a hyperbola using key features.",Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.GR.7.9,Graph and solve mathematical and real-world problems that are modeled with an equation of a hyperbola. Determine and interpret key features in terms of the context.,Apply geometric and algebraic representations of conic sections.,Mathematics (B.E.S.T.),912,Geometric Reasoning
MA.912.LT.1.1,Apply recursive and iterative thinking to solve problems.,Apply recursive methods to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.1.2,Solve problems involving recurrence relations.,Apply recursive methods to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.1.3,Apply mathematical induction in a variety of applications.,Apply recursive methods to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.2.1,Define and explain the basic concepts of Graph Theory.,Apply optimization and techniques from Graph Theory to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.2.2,Solve problems involving paths in graphs.,Apply optimization and techniques from Graph Theory to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.2.3,Solve scheduling problems using critical path analysis and Gantt charts. Create a schedule using critical path analysis.,Apply optimization and techniques from Graph Theory to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.2.4,Apply graph coloring techniques to solve problems.,Apply optimization and techniques from Graph Theory to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
MA.912.LT.2.5,"Apply spanning trees, rooted trees, binary trees and decision trees to solve problems.",Apply optimization and techniques from Graph Theory to solve problems.,Mathematics (B.E.S.T.),912,Logic and Discrete Theory
